
===================================================================================================

 365 dataset shape: 400x3x256x256

 Original set has 398 images; For each angle, take no more than 25 images>>>
  0%|          | 0/397 [00:00<?, ?it/s]100%|██████████| 397/397 [00:00<00:00, 148355.19it/s]398 images left and there are 397 unique labels

 Range of unnormalized labels: (16.913,38.532)

 Range of normalized labels: (0.42599332535734524,0.9705182293306466)

 Use rule-of-thumb formula to compute kernel_sigma >>>

 The std of 398 labels is 0.10931705898979509 so the kernel sigma is 0.03499590186283715

 /home/ylab3/improved_CcGAN/365_data/RC-49_256x256/CcGAN-improved/output/embed_models/ckpt_ResNet34_embed_epoch_200_seed_2021.pth

 /home/ylab3/improved_CcGAN/365_data/RC-49_256x256/CcGAN-improved/output/embed_models/ckpt_net_y2h_epoch_500_seed_2021.pth

 Start training CNN for label embedding >>>
Train net_x2y for embedding: [epoch 191/200] train_loss:0.000246 Time:264.4124
Train net_x2y for embedding: [epoch 192/200] train_loss:0.000336 Time:265.7677
Train net_x2y for embedding: [epoch 193/200] train_loss:0.000230 Time:267.1236
Train net_x2y for embedding: [epoch 194/200] train_loss:0.000435 Time:268.4789
Train net_x2y for embedding: [epoch 195/200] train_loss:0.000823 Time:269.8356
Train net_x2y for embedding: [epoch 196/200] train_loss:0.000302 Time:271.1931
Train net_x2y for embedding: [epoch 197/200] train_loss:0.000297 Time:272.5516
Train net_x2y for embedding: [epoch 198/200] train_loss:0.000212 Time:273.9068
Train net_x2y for embedding: [epoch 199/200] train_loss:0.000507 Time:275.2650
Train net_x2y for embedding: [epoch 200/200] train_loss:0.000180 Time:276.6231

 Start training net_y2h >>>

 Train net_y2h: [epoch 1/500] train_loss:0.078500 Time:0.0308

 Train net_y2h: [epoch 2/500] train_loss:0.053369 Time:0.0567

 Train net_y2h: [epoch 3/500] train_loss:0.036065 Time:0.0822

 Train net_y2h: [epoch 4/500] train_loss:0.020792 Time:0.1083

 Train net_y2h: [epoch 5/500] train_loss:0.011157 Time:0.1345

 Train net_y2h: [epoch 6/500] train_loss:0.007786 Time:0.1602

 Train net_y2h: [epoch 7/500] train_loss:0.003796 Time:0.1859

 Train net_y2h: [epoch 8/500] train_loss:0.003014 Time:0.2115

 Train net_y2h: [epoch 9/500] train_loss:0.002227 Time:0.2372

 Train net_y2h: [epoch 10/500] train_loss:0.001546 Time:0.2628

 Train net_y2h: [epoch 11/500] train_loss:0.001541 Time:0.2884

 Train net_y2h: [epoch 12/500] train_loss:0.001153 Time:0.3141

 Train net_y2h: [epoch 13/500] train_loss:0.000815 Time:0.3399

 Train net_y2h: [epoch 14/500] train_loss:0.000775 Time:0.3656

 Train net_y2h: [epoch 15/500] train_loss:0.000485 Time:0.3912

 Train net_y2h: [epoch 16/500] train_loss:0.000800 Time:0.4167

 Train net_y2h: [epoch 17/500] train_loss:0.000331 Time:0.4421

 Train net_y2h: [epoch 18/500] train_loss:0.000213 Time:0.4684

 Train net_y2h: [epoch 19/500] train_loss:0.000271 Time:0.4941

 Train net_y2h: [epoch 20/500] train_loss:0.000151 Time:0.5199

 Train net_y2h: [epoch 21/500] train_loss:0.000368 Time:0.5457

 Train net_y2h: [epoch 22/500] train_loss:0.000138 Time:0.5714

 Train net_y2h: [epoch 23/500] train_loss:0.000194 Time:0.5969

 Train net_y2h: [epoch 24/500] train_loss:0.000107 Time:0.6225

 Train net_y2h: [epoch 25/500] train_loss:0.000327 Time:0.6478

 Train net_y2h: [epoch 26/500] train_loss:0.000106 Time:0.6735

 Train net_y2h: [epoch 27/500] train_loss:0.000110 Time:0.6990

 Train net_y2h: [epoch 28/500] train_loss:0.000092 Time:0.7242

 Train net_y2h: [epoch 29/500] train_loss:0.000086 Time:0.7497

 Train net_y2h: [epoch 30/500] train_loss:0.000087 Time:0.7754

 Train net_y2h: [epoch 31/500] train_loss:0.000075 Time:0.8010

 Train net_y2h: [epoch 32/500] train_loss:0.000060 Time:0.8267

 Train net_y2h: [epoch 33/500] train_loss:0.000088 Time:0.8520

 Train net_y2h: [epoch 34/500] train_loss:0.000082 Time:0.8775

 Train net_y2h: [epoch 35/500] train_loss:0.000077 Time:0.9031

 Train net_y2h: [epoch 36/500] train_loss:0.000050 Time:0.9286

 Train net_y2h: [epoch 37/500] train_loss:0.000072 Time:0.9543

 Train net_y2h: [epoch 38/500] train_loss:0.000039 Time:0.9799

 Train net_y2h: [epoch 39/500] train_loss:0.000044 Time:1.0054

 Train net_y2h: [epoch 40/500] train_loss:0.000037 Time:1.0312

 Train net_y2h: [epoch 41/500] train_loss:0.000053 Time:1.0569

 Train net_y2h: [epoch 42/500] train_loss:0.000033 Time:1.0824

 Train net_y2h: [epoch 43/500] train_loss:0.000032 Time:1.1078

 Train net_y2h: [epoch 44/500] train_loss:0.000026 Time:1.1333

 Train net_y2h: [epoch 45/500] train_loss:0.000089 Time:1.1592

 Train net_y2h: [epoch 46/500] train_loss:0.000024 Time:1.1850

 Train net_y2h: [epoch 47/500] train_loss:0.000020 Time:1.2105

 Train net_y2h: [epoch 48/500] train_loss:0.000034 Time:1.2361

 Train net_y2h: [epoch 49/500] train_loss:0.000016 Time:1.2616

 Train net_y2h: [epoch 50/500] train_loss:0.000084 Time:1.2871

 Train net_y2h: [epoch 51/500] train_loss:0.000008 Time:1.3126

 Train net_y2h: [epoch 52/500] train_loss:0.000010 Time:1.3383

 Train net_y2h: [epoch 53/500] train_loss:0.000009 Time:1.3636

 Train net_y2h: [epoch 54/500] train_loss:0.000013 Time:1.3896

 Train net_y2h: [epoch 55/500] train_loss:0.000024 Time:1.4151

 Train net_y2h: [epoch 56/500] train_loss:0.000021 Time:1.4405

 Train net_y2h: [epoch 57/500] train_loss:0.000025 Time:1.4660

 Train net_y2h: [epoch 58/500] train_loss:0.000019 Time:1.4915

 Train net_y2h: [epoch 59/500] train_loss:0.000019 Time:1.5171

 Train net_y2h: [epoch 60/500] train_loss:0.000014 Time:1.5423

 Train net_y2h: [epoch 61/500] train_loss:0.000040 Time:1.5678

 Train net_y2h: [epoch 62/500] train_loss:0.000019 Time:1.5935

 Train net_y2h: [epoch 63/500] train_loss:0.000014 Time:1.6189

 Train net_y2h: [epoch 64/500] train_loss:0.000023 Time:1.6444

 Train net_y2h: [epoch 65/500] train_loss:0.000014 Time:1.6703

 Train net_y2h: [epoch 66/500] train_loss:0.000019 Time:1.6958

 Train net_y2h: [epoch 67/500] train_loss:0.000011 Time:1.7215

 Train net_y2h: [epoch 68/500] train_loss:0.000013 Time:1.7472

 Train net_y2h: [epoch 69/500] train_loss:0.000022 Time:1.7729

 Train net_y2h: [epoch 70/500] train_loss:0.000012 Time:1.7983

 Train net_y2h: [epoch 71/500] train_loss:0.000048 Time:1.8238

 Train net_y2h: [epoch 72/500] train_loss:0.000007 Time:1.8495

 Train net_y2h: [epoch 73/500] train_loss:0.000016 Time:1.8747

 Train net_y2h: [epoch 74/500] train_loss:0.000014 Time:1.8997

 Train net_y2h: [epoch 75/500] train_loss:0.000014 Time:1.9252

 Train net_y2h: [epoch 76/500] train_loss:0.000007 Time:1.9507

 Train net_y2h: [epoch 77/500] train_loss:0.000015 Time:1.9759

 Train net_y2h: [epoch 78/500] train_loss:0.000014 Time:2.0013

 Train net_y2h: [epoch 79/500] train_loss:0.000018 Time:2.0266

 Train net_y2h: [epoch 80/500] train_loss:0.000012 Time:2.0518

 Train net_y2h: [epoch 81/500] train_loss:0.000008 Time:2.0773

 Train net_y2h: [epoch 82/500] train_loss:0.000009 Time:2.1032

 Train net_y2h: [epoch 83/500] train_loss:0.000023 Time:2.1293

 Train net_y2h: [epoch 84/500] train_loss:0.000012 Time:2.1548

 Train net_y2h: [epoch 85/500] train_loss:0.000014 Time:2.1807

 Train net_y2h: [epoch 86/500] train_loss:0.000020 Time:2.2060

 Train net_y2h: [epoch 87/500] train_loss:0.000020 Time:2.2317

 Train net_y2h: [epoch 88/500] train_loss:0.000010 Time:2.2572

 Train net_y2h: [epoch 89/500] train_loss:0.000005 Time:2.2825

 Train net_y2h: [epoch 90/500] train_loss:0.000013 Time:2.3078

 Train net_y2h: [epoch 91/500] train_loss:0.000059 Time:2.3331

 Train net_y2h: [epoch 92/500] train_loss:0.000013 Time:2.3586

 Train net_y2h: [epoch 93/500] train_loss:0.000012 Time:2.3841

 Train net_y2h: [epoch 94/500] train_loss:0.000013 Time:2.4093

 Train net_y2h: [epoch 95/500] train_loss:0.000009 Time:2.4346

 Train net_y2h: [epoch 96/500] train_loss:0.000006 Time:2.4601

 Train net_y2h: [epoch 97/500] train_loss:0.000008 Time:2.4854

 Train net_y2h: [epoch 98/500] train_loss:0.000004 Time:2.5108

 Train net_y2h: [epoch 99/500] train_loss:0.000009 Time:2.5367

 Train net_y2h: [epoch 100/500] train_loss:0.000012 Time:2.5620

 Train net_y2h: [epoch 101/500] train_loss:0.000012 Time:2.5877

 Train net_y2h: [epoch 102/500] train_loss:0.000011 Time:2.6133

 Train net_y2h: [epoch 103/500] train_loss:0.000028 Time:2.6387

 Train net_y2h: [epoch 104/500] train_loss:0.000007 Time:2.6641

 Train net_y2h: [epoch 105/500] train_loss:0.000007 Time:2.6897

 Train net_y2h: [epoch 106/500] train_loss:0.000016 Time:2.7152

 Train net_y2h: [epoch 107/500] train_loss:0.000006 Time:2.7408

 Train net_y2h: [epoch 108/500] train_loss:0.000004 Time:2.7663

 Train net_y2h: [epoch 109/500] train_loss:0.000007 Time:2.7918

 Train net_y2h: [epoch 110/500] train_loss:0.000005 Time:2.8174

 Train net_y2h: [epoch 111/500] train_loss:0.000008 Time:2.8430

 Train net_y2h: [epoch 112/500] train_loss:0.000006 Time:2.8685

 Train net_y2h: [epoch 113/500] train_loss:0.000009 Time:2.8939

 Train net_y2h: [epoch 114/500] train_loss:0.000006 Time:2.9192

 Train net_y2h: [epoch 115/500] train_loss:0.000007 Time:2.9445

 Train net_y2h: [epoch 116/500] train_loss:0.000020 Time:2.9699

 Train net_y2h: [epoch 117/500] train_loss:0.000010 Time:2.9956

 Train net_y2h: [epoch 118/500] train_loss:0.000009 Time:3.0212

 Train net_y2h: [epoch 119/500] train_loss:0.000006 Time:3.0467

 Train net_y2h: [epoch 120/500] train_loss:0.000004 Time:3.0718

 Train net_y2h: [epoch 121/500] train_loss:0.000005 Time:3.0971

 Train net_y2h: [epoch 122/500] train_loss:0.000005 Time:3.1228

 Train net_y2h: [epoch 123/500] train_loss:0.000004 Time:3.1483

 Train net_y2h: [epoch 124/500] train_loss:0.000004 Time:3.1737

 Train net_y2h: [epoch 125/500] train_loss:0.000006 Time:3.1988

 Train net_y2h: [epoch 126/500] train_loss:0.000006 Time:3.2242

 Train net_y2h: [epoch 127/500] train_loss:0.000004 Time:3.2496

 Train net_y2h: [epoch 128/500] train_loss:0.000009 Time:3.2754

 Train net_y2h: [epoch 129/500] train_loss:0.000005 Time:3.3010

 Train net_y2h: [epoch 130/500] train_loss:0.000005 Time:3.3261

 Train net_y2h: [epoch 131/500] train_loss:0.000015 Time:3.3517

 Train net_y2h: [epoch 132/500] train_loss:0.000005 Time:3.3777

 Train net_y2h: [epoch 133/500] train_loss:0.000005 Time:3.4038

 Train net_y2h: [epoch 134/500] train_loss:0.000004 Time:3.4294

 Train net_y2h: [epoch 135/500] train_loss:0.000006 Time:3.4547

 Train net_y2h: [epoch 136/500] train_loss:0.000004 Time:3.4804

 Train net_y2h: [epoch 137/500] train_loss:0.000004 Time:3.5058

 Train net_y2h: [epoch 138/500] train_loss:0.000004 Time:3.5315

 Train net_y2h: [epoch 139/500] train_loss:0.000003 Time:3.5572

 Train net_y2h: [epoch 140/500] train_loss:0.000005 Time:3.5824

 Train net_y2h: [epoch 141/500] train_loss:0.000004 Time:3.6076

 Train net_y2h: [epoch 142/500] train_loss:0.000005 Time:3.6330

 Train net_y2h: [epoch 143/500] train_loss:0.000004 Time:3.6582

 Train net_y2h: [epoch 144/500] train_loss:0.000002 Time:3.6838

 Train net_y2h: [epoch 145/500] train_loss:0.000005 Time:3.7093

